"-- Please Select --","-- Selecteer a.u.b. --"
"ALT Text","ALT text"
"Action","Actie"
"Add Group","Toevoegen groep"
"Add Slide","Toevoegen slide"
"Animation Direction","Animatie richting"
"Animation Duration","Animatie duur"
"Animation","Animatie"
"Are you sure?","Weet u het zeker?"
"Auto Start Animation","Auto start animatie"
"Change status","Wijzig status"
"Click Here To Add Products","Klik hier om producten toe te voegen"
"Code","Code"
"Content Bottom","Inhoud bodem"
"Content Top","Inhoud top"
"Create a Group","Maak een groep"
"Delete","Verwijderen"
"Description","Omschrijving"
"Disabled","Uitgeschakeld"
"Display on Categories","Tonen op categorieen"
"Display on Pages","Tonen op pagina's"
"Display on Product Pages","Toon op product pagina's"
"Edit Group '%s'","Bewerk groep '%s'"
"Edit Slide '%s'","Bewerk slide '%s'"
"Edit","Bewerk"
"Edit","Bewerken"
"Enabled","Ingeschakeld"
"Flexslider - Groups","Flexslider - Groepen"
"Flexslider - Slides","Flexslider - Slides"
"General Information","Algemene informatie"
"General","Algemeen"
"Group Categories","Groep categorieën"
"Group Pages","Groep pagina's"
"Group Products","Groep producten"
"Group was successfully deleted","Groep is succesvol verwijderd"
"Group was successfully saved","Groep is succesvol opgeslagen"
"Group","Groep"
"Groups - Flexslider","Groepen - Flexslider"
"Hosted Image Thumb URL","Gehoste afbeelding thumbnail URL"
"Hosted Image URL","Gehoste afbeelding URL"
"ID","ID"
"Image or Video","Afbeelding of video"
"Image","Afbeelding"
"Information","Informatie"
"Is Enabled","Is ingeschakeld"
"Loop Slider","Loop slider"
"Maximum width","Maximum breedte"
"Navigation Arrows Color","Navigatie pijlen kleur"
"Navigation Arrows Position","Navigatie pijlen positie"
"Navigation Arrows Style","Navigatie pijlen stijl"
"Open Chooser","Open kiezer"
"Pagination Position","Paginatie positie"
"Pagination Style","Paginatie stijl"
"Pause Slider On Hover","Pauzeer slider bij hover"
"Pause Slider On Navigation","Pauzeer slider tijdens navigatie"
"Please select group(s)","Selecteer a.u.b groep(en)"
"Please select some slides.","Selecteer a.u.b. enkele slides."
"Position","Positie"
"Random Order","Willekeurige volgorde"
"Root","Root"
"Save And Continue Edit","Opslaan en verder bewerken"
"Show Navigation Arrows","Toon navigatie pijlen"
"Show On Product Pages (SKU)","Toon op product pagina's (SKU)"
"Show Pagination","Toon paginatie"
"Slide Duration","Slide duur"
"Slide was saved","Slide is opgeslagen"
"Slider Effects","Slider effecten"
"Slider Style","Slider stijl"
"Slider Theme","Slider thema"
"Slider Type","Slider type"
"Slides - Flexslider","Slides - Flexslider"
"Slides of this Group","Slides van deze groep"
"Smooth Height","Vloeiende hoogte"
"Sort Order","Sorteervolgorde"
"Status","Status"
"Template Tag","Template tag"
"The slide was deleted.","De slide is verwijderd."
"There was no data to save","Er zijn geen wijzigingen om op te slaan"
"Thumbnail Width","Thumbnail breedte"
"Title","Titel"
"Total of %d record(s) have been deleted.","Een totaal van %d record(s) is succesvol verwijderd."
"Total of %d record(s) have been edited.","Een totaal van %d record(s) zijn bijgewerkt."
"Total of %d record(s) were successfully deleted","Een totaal van %d record(s) is succesvol verwijderd"
"Total of %d record(s) were successfully updated","Een totaal van %d record(s) is succesvol bijgewerkt"
"URL Target","URL doel"
"URL","URL"
"Unable to find group to save","Niet gelukt de groep te vinden om op te slaan"
"Use Code Inserts","Gebruik code inserts"
"Use External Image Hosting","Gebruik externe hosting"
"Video ID","Video ID"
"Visible In","Zichtbaar in"
"XML Code","XML code"
"a unique identifier that is used to inject the slide group via XML","een uniek kenmerk die gebruikt wordt om een slide groep toe te voegen via XML"
"allow slider to scale height if slider images differ in height","stelt de slider in staat de hoogte van afbeeldingen vloeiend te schalen indien deze verschillen"
"enter the video id of your YouTube or Vimeo video (not the full link)","voer de video id van je Youtube of Vimeo video in (niet de volledige link)"
"in milliseconds (default is 600)","in milliseconden (standaard is 600)"
"in milliseconds (default is 7000)","in milliseconden (standaard is 7000)"
"instead of uploading images you can host your images on a image hoster and just enter the link to the image and thumbnail","in plaats van het uploaden van afbeeldingen kan ook gebruik worden gemaakt van een externe image hoster, vul hieronder dan de link naar de afbeelding en thumbnail in"
"maximum width of the slider in pixels, leave empty or 0 for full width","maximale breedte van de slider in pixels, laat leeg of 0 voor volledige breedte"
"set the sort order in case of multiple sliders on one page","bepaal de volgorde bij meerdere sliders op 1 pagina"
"width of the images in carousel, should not be larger then thumbnail upload width in general settings (default is 200)","breedte van de thumbnails in een carousel, zou niet breeder moeten zijn dan de thumbnail upload breedte in de algemene instellingen (standaard is 200)"
"you can use the same URL as above but for performance reasons it's better to upload a seperate small thumbnail of this image, the thumbnails are used in carousels","je kan dezelfde URL voor de thumbnail gebruiken als hierboven maar vanwege performance wordt aangeraden een aparte kleine thumbnail van de afbeelding toe te voegen, de thumbnails worden gebruikt in de carousels"